ymd,hms, Latitude, Longitude
2024-11-26,12:25:16.875,37.2397502,126.7735892
2024-11-26,12:25:17.142,37.2397502,126.7735892
2024-11-26,12:25:17.407,37.2397502,126.7735892
2024-11-26,12:25:17.673,37.2397502,126.7735892
2024-11-26,12:25:17.907,37.2397502,126.7735892
2024-11-26,12:25:18.251,37.2399478,126.7736318
2024-11-26,12:25:18.798,37.2399732,126.7736487
2024-11-26,12:25:19.815,37.2400017,126.7736678
2024-11-26,12:25:20.800,37.2400288,126.7736865
2024-11-26,12:25:21.816,37.2400505,126.7737017
2024-11-26,12:25:22.801,37.2400618,126.7737097
2024-11-26,12:25:23.801,37.2400638,126.7737110
2024-11-26,12:25:24.802,37.2400638,126.7737110
2024-11-26,12:25:25.788,37.2400638,126.7737110
2024-11-26,12:25:26.804,37.2400638,126.7737110
2024-11-26,12:25:27.805,37.2400638,126.7737110
2024-11-26,12:25:28.822,37.2400638,126.7737110
2024-11-26,12:25:29.821,37.2400638,126.7737110
2024-11-26,12:25:30.790,37.2400638,126.7737110
2024-11-26,12:25:31.822,37.2400637,126.7737110
2024-11-26,12:25:32.807,37.2400638,126.7737110
2024-11-26,12:25:33.823,37.2400638,126.7737110
2024-11-26,12:25:34.808,37.2400638,126.7737110
2024-11-26,12:25:35.824,37.2400638,126.7737110
2024-11-26,12:25:36.809,37.2400638,126.7737110
2024-11-26,12:25:37.794,37.2400638,126.7737110
2024-11-26,12:25:38.810,37.2400638,126.7737110
2024-11-26,12:25:39.826,37.2400638,126.7737110
2024-11-26,12:25:40.811,37.2400638,126.7737110
2024-11-26,12:25:41.795,37.2400638,126.7737108
2024-11-26,12:25:42.812,37.2400638,126.7737110
2024-11-26,12:25:43.797,37.2400643,126.7737113
2024-11-26,12:25:44.844,37.2400752,126.7737188
2024-11-26,12:25:45.828,37.2400998,126.7737352
2024-11-26,12:25:46.843,37.2401258,126.7737522
2024-11-26,12:25:47.828,37.2401482,126.7737672
2024-11-26,12:25:48.828,37.2401613,126.7737758
2024-11-26,12:25:49.845,37.2401637,126.7737773
2024-11-26,12:25:50.830,37.2401637,126.7737773
2024-11-26,12:25:51.831,37.2401637,126.7737773
2024-11-26,12:25:52.816,37.2401637,126.7737773
2024-11-26,12:25:53.800,37.2401637,126.7737773
2024-11-26,12:25:54.816,37.2401637,126.7737773
2024-11-26,12:25:55.801,37.2401637,126.7737773
2024-11-26,12:25:56.817,37.2401637,126.7737773
2024-11-26,12:25:57.802,37.2401637,126.7737773
2024-11-26,12:25:58.818,37.2401637,126.7737775
2024-11-26,12:25:59.818,37.2401637,126.7737773
2024-11-26,12:26:00.803,37.2401637,126.7737773
2024-11-26,12:26:01.788,37.2401637,126.7737773
2024-11-26,12:26:02.788,37.2401637,126.7737773
2024-11-26,12:26:03.804,37.2401637,126.7737773
2024-11-26,12:26:04.804,37.2401637,126.7737773
2024-11-26,12:26:05.789,37.2401637,126.7737773
2024-11-26,12:26:06.805,37.2401637,126.7737773
2024-11-26,12:26:07.791,37.2401637,126.7737773
2024-11-26,12:26:08.807,37.2401637,126.7737773
2024-11-26,12:26:09.807,37.2401637,126.7737773
2024-11-26,12:26:10.792,37.2401665,126.7737792
2024-11-26,12:26:11.808,37.2401833,126.7737903
2024-11-26,12:26:12.794,37.2402108,126.7738083
2024-11-26,12:26:13.810,37.2402372,126.7738250
2024-11-26,12:26:14.810,37.2402510,126.7738338
2024-11-26,12:26:15.811,37.2402530,126.7738350
2024-11-26,12:26:16.796,37.2402528,126.7738350
2024-11-26,12:26:17.812,37.2402530,126.7738350
2024-11-26,12:26:18.859,37.2402528,126.7738350
2024-11-26,12:26:19.782,37.2402528,126.7738350
2024-11-26,12:26:20.814,37.2402528,126.7738350
2024-11-26,12:26:21.815,37.2402528,126.7738350
2024-11-26,12:26:22.816,37.2402528,126.7738350
2024-11-26,12:26:23.816,37.2402528,126.7738350
2024-11-26,12:26:24.801,37.2402528,126.7738350
2024-11-26,12:26:25.817,37.2402528,126.7738350
2024-11-26,12:26:26.801,37.2402528,126.7738350
2024-11-26,12:26:27.818,37.2402528,126.7738352
2024-11-26,12:26:28.804,37.2402528,126.7738352
2024-11-26,12:26:29.804,37.2402528,126.7738352
2024-11-26,12:26:30.804,37.2402528,126.7738352
2024-11-26,12:26:31.821,37.2402528,126.7738350
2024-11-26,12:26:32.806,37.2402528,126.7738350
2024-11-26,12:26:33.790,37.2402528,126.7738350
2024-11-26,12:26:34.806,37.2402528,126.7738350
2024-11-26,12:26:35.822,37.2402528,126.7738350
2024-11-26,12:26:36.792,37.2402528,126.7738352
2024-11-26,12:26:37.777,37.2402567,126.7738375
2024-11-26,12:26:38.809,37.2402717,126.7738470
2024-11-26,12:26:39.809,37.2402945,126.7738612
2024-11-26,12:26:40.794,37.2403173,126.7738757
2024-11-26,12:26:41.826,37.2403335,126.7738858
2024-11-26,12:26:42.796,37.2403385,126.7738890
2024-11-26,12:26:43.796,37.2403385,126.7738890
2024-11-26,12:26:44.796,37.2403385,126.7738890
2024-11-26,12:26:45.781,37.2403385,126.7738890
2024-11-26,12:26:46.796,37.2403383,126.7738890
2024-11-26,12:26:47.797,37.2403383,126.7738890
2024-11-26,12:26:48.812,37.2403383,126.7738890
2024-11-26,12:26:49.812,37.2403383,126.7738890
2024-11-26,12:26:50.797,37.2403385,126.7738890
2024-11-26,12:26:51.813,37.2403385,126.7738890
2024-11-26,12:26:52.829,37.2403385,126.7738890
2024-11-26,12:26:53.813,37.2403385,126.7738890
2024-11-26,12:26:54.798,37.2403385,126.7738890
