Camera_X,Camera_Y,Lidar_X,Lidar_Y,Fused_X,Fused_Y
69.48769965326757,68.50121066128587,68.8816756898166,68.05235321944629,58.92940713016745,58.34517453641407
69.58120677954446,68.5984924914056,68.9643753916685,68.13779687717184,58.99804608844619,58.42248411635774
69.67369403295847,68.69501513489699,69.04002941767742,68.21698129015518,59.06459116679793,58.497793658107184
69.7665478236199,68.79287451787704,69.12043470156247,68.30164016692679,59.131179834114306,58.57352373220745
69.85188375215724,68.88229816232202,69.20129940594074,68.38649216873405,59.19961864930853,58.65153725376703
69.94104250746358,68.97556813817124,69.27975188513969,68.46917510992033,59.26987827256856,58.73160563050401
70.025743216706,69.065016544122,69.36430331518623,68.55847101502532,59.34113691743969,58.812827106616766
70.11432475387666,69.15867483456631,69.4424443694928,68.64133713592938,59.4117375186934,58.893305929482054
70.20138546405038,69.25116999287962,69.5214549276629,68.72500170081507,59.48164769841647,58.9730086995729
70.2888002417562,69.3441408027924,69.59523706521554,68.80308188281298,62.16010141047613,61.611966728351895
70.37380104770646,69.43522202450382,69.66413534888895,68.87673208116776,61.854275322096704,61.279818361797766
70.46316158874134,69.53192383097524,69.73189160301236,68.9500906490072,61.478970014317625,60.89060906117135
70.54556314419017,69.62113275141785,69.8083699936499,69.03327269621577,61.03613668448529,60.446706007585
70.63341403615111,69.71608168027765,69.88666831851842,69.11831224648007,60.52373145508574,59.94560717850199
70.72213361122463,69.81291848045373,69.96232258930945,69.20080553522475,60.59419993074143,60.027272362097825
70.80976050817476,69.9095682278872,70.04050564699615,69.2864475013385,62.99534490832761,62.44945159499993
70.89430731206706,70.00269492964279,70.11344848321593,69.36686782167315,62.22640980765104,61.741431203331985
70.98174752293984,70.09951937127396,70.19047214595228,69.45269674730022,61.52067574390803,61.083355858732155
71.06210659550825,70.18860310294376,70.2672502862819,69.53888102433987,60.877794514488954,60.474651723849774
71.14291479357557,70.27853451720074,70.34512778612444,69.62618678112526,60.29907138617751,59.916737262904554
71.22303134748036,70.3677945851434,70.42888335005165,69.71967837626497,60.36511369815633,59.992705366685314
71.30917335976888,70.46374402708389,70.50841835975983,69.80911328683695,60.42872915608571,60.06585189941521
71.39682268498126,70.56138431358556,70.593117021623,69.90432238538315,60.49357264722906,60.14032823974518
71.4851380343459,70.66055374948608,70.67420590135602,69.99608085387604,60.55753561286007,60.2140135280777
71.5697713500589,70.75635327619794,70.75021202067957,70.08257167074918,60.62248620657581,60.28896514115264
71.64817594396023,70.84541292099047,70.83067457572609,70.17455293007085,60.6888077911052,60.3654700531749
71.7267001614701,70.93402171750564,70.91677296509745,70.27274330249544,60.75571495320122,60.44271163531702
71.80127256376986,71.01787308715457,71.00313352235787,70.37099520677494,60.8241690851405,60.521739765361346
71.87791411721751,71.10420140358127,71.08835379449158,70.46817305370602,60.893991769032375,60.60257454510755
71.95187237971489,71.18851203031812,71.1709208363274,70.56235190558911,60.96584906381369,60.685906294009484
72.02567092347917,71.27326226710693,71.25391714801994,70.65698024782425,61.03770565852945,60.76932930091964
72.10122860230582,71.3598624319127,71.3417013959217,70.75784591458945,61.11095651565038,60.85398148579584
72.17311823477279,71.44265746428441,71.43047714532997,70.85984863662615,61.18606257399442,60.940317747969466
72.24876299223295,71.53045383789755,71.52047262467559,70.96303845385543,61.262748316100044,61.02804442592914
72.33103255204612,71.62533803090562,71.60272934232115,71.0578486249706,61.34085223736708,61.117271977321984
72.41906434535505,71.72747949274692,71.68544976862655,71.15363656346891,61.41682119927201,61.20400411018177
72.50224117148129,71.8240149506578,71.76120769627755,71.24247153704033,61.490499780008946,61.28803075377786
72.58606716074019,71.92110611355973,71.83883823453836,71.33303208617164,61.56506631718232,61.37289786177075
72.675076613923,72.02410346070707,71.91164201901721,71.41762804431373,61.64169136659805,61.46006662923751
72.75766332722188,72.12031216533846,71.98726526321886,71.50523675100901,64.42307904457672,64.2197827240628
72.8402799859877,72.21716483174079,72.0683683457005,71.59907636184198,64.11465157160353,63.88773304713669
72.9257907530506,72.31703857235648,72.14791141605853,71.69052549494954,63.73218244792445,63.49208570942369
73.0104663267856,72.4163112767478,72.23028819277957,71.78480716345423,63.27617604036715,63.03318086626124
73.09499234568342,72.515578586793,72.30601024512335,71.87215434031697,62.74698469910023,62.51139933018807
73.18408067471206,72.61989720701827,72.37843705777661,71.95544359040927,62.82314422561376,62.59715238705535
73.26901082457854,72.71889702877374,72.45962764360544,72.04851324242361,62.89966940071341,62.682866993100205
73.35873089741959,72.8227429760665,72.53492279022255,72.13564391056798,62.97394599982439,62.76580815904195
73.44739191753852,72.92512668855348,72.61403572508524,72.22714104636002,65.47273350811629,65.29264692287954
73.52949514789124,73.01980799160847,72.69514313102842,72.32053409596355,64.6885262898276,64.55749284914091
73.61483967430237,73.11739892020282,72.77607128373104,72.41401031891796,63.972673247006114,63.87936819726194
73.69723838712022,73.2120377151588,72.85980963464786,72.51072867722728,63.32326257524753,63.25634859252248
73.7829402935887,73.31054298291791,72.94512508635857,72.60990408846013,62.73660312918227,62.684530303897226
73.87024168008158,73.41155438876463,73.03398354507304,72.71306401667127,62.81761061847665,62.77352575505359
73.96032653534124,73.51579419720967,73.11869155448234,72.81146947633712,62.89521201466877,62.85860904730139
74.0433739682732,73.61151376775668,73.20851727028499,72.91451109779231,62.9693029942702,62.939560918667354
74.12689225963337,73.7073226592152,73.3012436306135,73.0204942724622,63.04017471331321,63.01672369907342
74.20998482131641,73.80258433601288,73.3949985644958,73.12730096021014,63.10897803713745,63.091326563279345
74.29538056887448,73.90116461968302,73.48949450950543,73.2353497490876,63.17701772018856,63.16460927139372
74.37856432830179,73.99721583524666,73.57580895812858,73.33385528795786,63.24380022872993,63.23605443313404
74.45698227534437,74.08775325165595,73.6607806777166,73.43059842296312,63.31119346919435,63.307832619208426
74.54059004933131,74.18381100008374,73.75332107783836,73.53563853630195,63.3781461024704,63.379060968603724
74.62951123168303,74.28574672451445,73.84905932053019,73.64460786942333,63.446330882284784,63.45159586658315
74.7191940973717,74.3882644671685,73.94389708917862,73.75227321817658,63.514543914782756,63.52406307201984
74.80874588991293,74.49005932761804,74.03227980978033,73.85292993017833,63.583124235850185,63.59669847696574
74.90061553407453,74.59477713984276,74.12198718946756,73.95439827539607,63.65159884996651,63.66876401774434
