SensorID,TrackingID,Start Time,End Time,Start Within Range,End Within Range,Both Within Range
102030203,0,2024-11-26 12:32:40,2024-11-26 12:32:48,True,True,True
102030203,26,2024-11-26 12:25:21,2024-11-26 12:28:05,True,True,True
102030203,27,2024-11-26 12:25:28,2024-11-26 12:25:35,True,True,True
102030203,28,2024-11-26 12:25:59,2024-11-26 12:25:59,True,True,True
102030203,29,2024-11-26 12:26:06,2024-11-26 12:26:24,True,True,True
102030203,31,2024-11-26 12:26:40,2024-11-26 12:29:10,True,True,True
102030203,32,2024-11-26 12:26:31,2024-11-26 12:26:37,True,True,True
102030203,33,2024-11-26 12:26:34,2024-11-26 12:26:41,True,True,True
102030203,36,2024-11-26 12:27:22,2024-11-26 12:27:28,True,True,True
102030203,38,2024-11-26 12:27:08,2024-11-26 12:27:13,True,True,True
102030203,39,2024-11-26 12:27:19,2024-11-26 12:27:25,True,True,True
102030203,40,2024-11-26 12:28:08,2024-11-26 12:28:13,True,True,True
102030203,41,2024-11-26 12:28:09,2024-11-26 12:28:11,True,True,True
102030203,42,2024-11-26 12:28:12,2024-11-26 12:28:17,True,True,True
102030203,43,2024-11-26 12:28:13,2024-11-26 12:28:24,True,True,True
102030203,47,2024-11-26 12:28:25,2024-11-26 12:28:29,True,True,True
102030203,48,2024-11-26 12:28:55,2024-11-26 12:28:58,True,True,True
102030203,49,2024-11-26 12:28:52,2024-11-26 12:28:57,True,True,True
102030203,52,2024-11-26 12:29:22,2024-11-26 12:29:22,True,True,True
102030203,54,2024-11-26 12:29:25,2024-11-26 12:29:28,True,True,True
102030203,56,2024-11-26 12:29:37,2024-11-26 12:29:39,True,True,True
102030203,57,2024-11-26 12:29:36,2024-11-26 12:29:37,True,True,True
102030203,58,2024-11-26 12:29:37,2024-11-26 12:29:41,True,True,True
102030203,59,2024-11-26 12:29:38,2024-11-26 12:29:47,True,True,True
102030203,70,2024-11-26 12:29:51,2024-11-26 12:30:38,True,True,True
102030203,71,2024-11-26 12:30:07,2024-11-26 12:30:11,True,True,True
102030203,72,2024-11-26 12:30:04,2024-11-26 12:30:09,True,True,True
102030203,79,2024-11-26 12:30:45,2024-11-26 12:33:07,True,True,True
102030203,80,2024-11-26 12:31:03,2024-11-26 12:31:04,True,True,True
102030203,81,2024-11-26 12:31:04,2024-11-26 12:31:07,True,True,True
102030203,82,2024-11-26 12:31:05,2024-11-26 12:31:09,True,True,True
102030203,84,2024-11-26 12:31:41,2024-11-26 12:32:38,True,True,True
102030203,85,2024-11-26 12:31:34,2024-11-26 12:32:30,True,True,True
102030203,86,2024-11-26 12:32:03,2024-11-26 12:33:13,True,True,True
102030203,87,2024-11-26 12:32:33,2024-11-26 12:32:49,True,True,True
102030203,89,2024-11-26 12:32:43,2024-11-26 12:32:52,True,True,True
102030203,90,2024-11-26 12:32:42,2024-11-26 12:32:44,True,True,True
102030203,91,2024-11-26 12:32:54,2024-11-26 12:32:59,True,True,True
102030203,93,2024-11-26 12:32:56,2024-11-26 12:33:01,True,True,True
102030203,94,2024-11-26 12:32:58,2024-11-26 12:33:02,True,True,True
102030203,99,2024-11-26 12:33:23,2024-11-26 12:33:30,True,True,True
102030203,100,2024-11-26 12:33:29,2024-11-26 12:35:15,True,True,True
102030203,101,2024-11-26 12:34:00,2024-11-26 12:34:00,True,True,True
102030203,102,2024-11-26 12:34:19,2024-11-26 12:35:56,True,True,True
102030203,103,2024-11-26 12:34:25,2024-11-26 12:34:30,True,True,True
102030203,104,2024-11-26 12:34:41,2024-11-26 12:36:06,True,True,True
102030203,110,2024-11-26 12:36:36,2024-11-26 12:36:40,True,True,True
102030203,111,2024-11-26 12:37:53,2024-11-26 12:38:20,True,True,True
102030203,112,2024-11-26 12:37:14,2024-11-26 12:38:16,True,True,True
102030203,113,2024-11-26 12:37:26,2024-11-26 12:37:38,True,True,True
102030203,114,2024-11-26 12:38:00,2024-11-26 12:38:56,True,False,False
